project_code,project_name,portfolio_cluster,status,start_char,end_char,match_score,mention_context,section_text,source_filename
2PT00015,Ferreira_Do_Alentejo_PV1,Ferreira,1,10115,10272,100.0,"ole PV2 capacity


(Portugal) Ferreira PV1 (Direct Nego 164.4MVA / 178.1MWp)
Land (PV2): E","Ferreira PV1 (Direct Nego 164.4MVA / 178.1MWp)
Land (PV2): EPC is conducting studies on layout to include PV2 in already secured land nearby PV1

(Portugal)",Weekly Report_CW16 - DEV.docx
2PT00023,Ferreira_Do_Alentejo_Wind,Ferreira,1,10115,10272,100.0,"ole PV2 capacity


(Portugal) Ferreira PV1 (Direct Nego 164.4MVA / 178.1MWp)
Land (PV2): E","Ferreira PV1 (Direct Nego 164.4MVA / 178.1MWp)
Land (PV2): EPC is conducting studies on layout to include PV2 in already secured land nearby PV1

(Portugal)",Weekly Report_CW16 - DEV.docx
5PT00005,Ferreira_BESS,Ferreira,1,10272,10559,100.0,"d land nearby PV1

(Portugal) Ferreira Auction (Auction 50MVA / 62.5MWp+ ESS 10MW)
LLA(PV1","Ferreira Auction (Auction 50MVA / 62.5MWp+ ESS 10MW)
LLA(PV1): Negotiation on going to implement the condition for QE to terminate the LLA within 9 months after signing without exit fees because landowner initially requested the reservation fee from 9 months after signing. 

(Portugal)",Weekly Report_CW16 - DEV.docx
2PT00015,Ferreira_Do_Alentejo_PV1,Ferreira,1,10272,10559,100.0,"d land nearby PV1

(Portugal) Ferreira Auction (Auction 50MVA / 62.5MWp+ ESS 10MW)
LLA(PV1","Ferreira Auction (Auction 50MVA / 62.5MWp+ ESS 10MW)
LLA(PV1): Negotiation on going to implement the condition for QE to terminate the LLA within 9 months after signing without exit fees because landowner initially requested the reservation fee from 9 months after signing. 

(Portugal)",Weekly Report_CW16 - DEV.docx
2PT00023,Ferreira_Do_Alentejo_Wind,Ferreira,1,10272,10559,100.0,"d land nearby PV1

(Portugal) Ferreira Auction (Auction 50MVA / 62.5MWp+ ESS 10MW)
LLA(PV1","Ferreira Auction (Auction 50MVA / 62.5MWp+ ESS 10MW)
LLA(PV1): Negotiation on going to implement the condition for QE to terminate the LLA within 9 months after signing without exit fees because landowner initially requested the reservation fee from 9 months after signing. 

(Portugal)",Weekly Report_CW16 - DEV.docx
5PT00016,Nisa_BESS,Nisa,1,10559,11379,100.0,"s after signing. 

(Portugal) Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The ","Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The official notification results in suspensive measures. Legal department and external legal consultant are preparing an appeal to revert this measure.

(Portugal) Auction project: Letter to government on going. Cuatrecasas(External legal firm) has to analyze all the land agreements to see how to manage the situation with the landowner.

(Portugal) Vale do Gaio  PV (Auction 22.8MVA / 28.5MWp + ESS 5MW)
LLA: Landowner is calling to pay the the invoice of the 25% land reservation 39.38 k. 
Floresta Commission took place on 8 April, they approved the project, so Building License will be raised quickly. Cuatrecasas has to analyze the this contract urgently, because the payment of the pivot must be made, before the raise of the Building License.

(Portugal)",Weekly Report_CW16 - DEV.docx
2PT00016,Nisa_PV1,Nisa,1,10559,11379,100.0,"s after signing. 

(Portugal) Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The ","Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The official notification results in suspensive measures. Legal department and external legal consultant are preparing an appeal to revert this measure.

(Portugal) Auction project: Letter to government on going. Cuatrecasas(External legal firm) has to analyze all the land agreements to see how to manage the situation with the landowner.

(Portugal) Vale do Gaio  PV (Auction 22.8MVA / 28.5MWp + ESS 5MW)
LLA: Landowner is calling to pay the the invoice of the 25% land reservation 39.38 k. 
Floresta Commission took place on 8 April, they approved the project, so Building License will be raised quickly. Cuatrecasas has to analyze the this contract urgently, because the payment of the pivot must be made, before the raise of the Building License.

(Portugal)",Weekly Report_CW16 - DEV.docx
3PT00016,Nisa_PV2,Nisa,1,10559,11379,100.0,"s after signing. 

(Portugal) Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The ","Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The official notification results in suspensive measures. Legal department and external legal consultant are preparing an appeal to revert this measure.

(Portugal) Auction project: Letter to government on going. Cuatrecasas(External legal firm) has to analyze all the land agreements to see how to manage the situation with the landowner.

(Portugal) Vale do Gaio  PV (Auction 22.8MVA / 28.5MWp + ESS 5MW)
LLA: Landowner is calling to pay the the invoice of the 25% land reservation 39.38 k. 
Floresta Commission took place on 8 April, they approved the project, so Building License will be raised quickly. Cuatrecasas has to analyze the this contract urgently, because the payment of the pivot must be made, before the raise of the Building License.

(Portugal)",Weekly Report_CW16 - DEV.docx
2PT00026,Nisa_Wind,Nisa,1,10559,11379,100.0,"s after signing. 

(Portugal) Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The ","Nisa PV (Direct Nego 188MVA / 244.4+37.6MWp)
DIA(PV1) : The official notification results in suspensive measures. Legal department and external legal consultant are preparing an appeal to revert this measure.

(Portugal) Auction project: Letter to government on going. Cuatrecasas(External legal firm) has to analyze all the land agreements to see how to manage the situation with the landowner.

(Portugal) Vale do Gaio  PV (Auction 22.8MVA / 28.5MWp + ESS 5MW)
LLA: Landowner is calling to pay the the invoice of the 25% land reservation 39.38 k. 
Floresta Commission took place on 8 April, they approved the project, so Building License will be raised quickly. Cuatrecasas has to analyze the this contract urgently, because the payment of the pivot must be made, before the raise of the Building License.

(Portugal)",Weekly Report_CW16 - DEV.docx
5PT00003,Ourique_BESS,Ourique,1,11379,11733,100.0,"Building License.

(Portugal) Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LL","Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LLA: LLA full payment was supposed to be paid in Apr but we have reached the agreement with the landowner to pay 25% of reservation instead of the full payment through several negotiation round. The amount of 54,375€ needs to be decided whether to pay or not by 19th April 2025 

(PORTUGAL) Wind-",Weekly Report_CW16 - DEV.docx
2PT00014,Ourique_PV1,Ourique,1,11379,11733,100.0,"Building License.

(Portugal) Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LL","Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LLA: LLA full payment was supposed to be paid in Apr but we have reached the agreement with the landowner to pay 25% of reservation instead of the full payment through several negotiation round. The amount of 54,375€ needs to be decided whether to pay or not by 19th April 2025 

(PORTUGAL) Wind-",Weekly Report_CW16 - DEV.docx
2PT00038,Ourique_PV2,Ourique,1,11379,11733,100.0,"Building License.

(Portugal) Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LL","Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LLA: LLA full payment was supposed to be paid in Apr but we have reached the agreement with the landowner to pay 25% of reservation instead of the full payment through several negotiation round. The amount of 54,375€ needs to be decided whether to pay or not by 19th April 2025 

(PORTUGAL) Wind-",Weekly Report_CW16 - DEV.docx
2PT00031,Ourique_Wind,Ourique,1,11379,11733,100.0,"Building License.

(Portugal) Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LL","Ourique 2  PV (Auction 99 MVA /123.75 MWp + ESS 19.80 MW)
LLA: LLA full payment was supposed to be paid in Apr but we have reached the agreement with the landowner to pay 25% of reservation instead of the full payment through several negotiation round. The amount of 54,375€ needs to be decided whether to pay or not by 19th April 2025 

(PORTUGAL) Wind-",Weekly Report_CW16 - DEV.docx
5PT00009,Pocinho_BESS,Pocinho,1,11733,12196,100.0," April 2025 

(PORTUGAL) Wind-Pocinho + Wind-Lagoaca1 + Wind-Lagoaca2
Tasks to compile and","Pocinho + Wind-Lagoaca1 + Wind-Lagoaca2
Tasks to compile and submit the Request for Classification Under the Legal Environmental Framework (“PERJAIA”=EAP):
The execution of wind resource studies waits for internal approvals to be awarded (HQE-2503-0627, HQE-2503-0629 and HQE-2503-0630)
The execution of acoustic studies, to avoid the acoustic amphitheater effect, has been awarded and will be executed after the execution of wind resource studies

(PORTUGAL) PV-",Weekly Report_CW16 - DEV.docx
2PT00009,Pocinho_PV,Pocinho,1,11733,12196,100.0," April 2025 

(PORTUGAL) Wind-Pocinho + Wind-Lagoaca1 + Wind-Lagoaca2
Tasks to compile and","Pocinho + Wind-Lagoaca1 + Wind-Lagoaca2
Tasks to compile and submit the Request for Classification Under the Legal Environmental Framework (“PERJAIA”=EAP):
The execution of wind resource studies waits for internal approvals to be awarded (HQE-2503-0627, HQE-2503-0629 and HQE-2503-0630)
The execution of acoustic studies, to avoid the acoustic amphitheater effect, has been awarded and will be executed after the execution of wind resource studies

(PORTUGAL) PV-",Weekly Report_CW16 - DEV.docx
4PT00009,Pocinho_Wind,Pocinho,1,11733,12196,100.0," April 2025 

(PORTUGAL) Wind-Pocinho + Wind-Lagoaca1 + Wind-Lagoaca2
Tasks to compile and","Pocinho + Wind-Lagoaca1 + Wind-Lagoaca2
Tasks to compile and submit the Request for Classification Under the Legal Environmental Framework (“PERJAIA”=EAP):
The execution of wind resource studies waits for internal approvals to be awarded (HQE-2503-0627, HQE-2503-0629 and HQE-2503-0630)
The execution of acoustic studies, to avoid the acoustic amphitheater effect, has been awarded and will be executed after the execution of wind resource studies

(PORTUGAL) PV-",Weekly Report_CW16 - DEV.docx
5PT00009,Pocinho_BESS,Pocinho,1,12196,13240,100.0,"source studies

(PORTUGAL) PV-Pocinho (190,7 MVA, general access regime)
We have received ","Pocinho (190,7 MVA, general access regime)
We have received the quotation from the TSO for the non-contestable works (NCW), which is now under review
We need to provide a decision to TSO, about our acceptance, till May 15th 2025
The total estimated cost is around 10,5 M€ and covers the installation of three 220 kV line bays and the associated busbar bays (two for the opening of the existing line and one for the connection of the solar power plant line)
The estimated timeframe to fulfill the connection conditions (including licensing and construction phases), on the TSO side, is approximately 4,5 years, starting from the date of signing the NCW agreement
A similar timeframe will be also necessary, from our end, for licensing and construction of the 220kV evacuation line from the PV power plant till the new TSO substation (approximately 10 to 12 km length)
The feasibility study to be conducted with internal teams considering the proposed NCW amount and revised inputs

Pipeline in Germany (Mid stage: B-Plan application)


(Germany)",Weekly Report_CW16 - DEV.docx
2PT00009,Pocinho_PV,Pocinho,1,12196,13240,100.0,"source studies

(PORTUGAL) PV-Pocinho (190,7 MVA, general access regime)
We have received ","Pocinho (190,7 MVA, general access regime)
We have received the quotation from the TSO for the non-contestable works (NCW), which is now under review
We need to provide a decision to TSO, about our acceptance, till May 15th 2025
The total estimated cost is around 10,5 M€ and covers the installation of three 220 kV line bays and the associated busbar bays (two for the opening of the existing line and one for the connection of the solar power plant line)
The estimated timeframe to fulfill the connection conditions (including licensing and construction phases), on the TSO side, is approximately 4,5 years, starting from the date of signing the NCW agreement
A similar timeframe will be also necessary, from our end, for licensing and construction of the 220kV evacuation line from the PV power plant till the new TSO substation (approximately 10 to 12 km length)
The feasibility study to be conducted with internal teams considering the proposed NCW amount and revised inputs

Pipeline in Germany (Mid stage: B-Plan application)


(Germany)",Weekly Report_CW16 - DEV.docx
4PT00009,Pocinho_Wind,Pocinho,1,12196,13240,100.0,"source studies

(PORTUGAL) PV-Pocinho (190,7 MVA, general access regime)
We have received ","Pocinho (190,7 MVA, general access regime)
We have received the quotation from the TSO for the non-contestable works (NCW), which is now under review
We need to provide a decision to TSO, about our acceptance, till May 15th 2025
The total estimated cost is around 10,5 M€ and covers the installation of three 220 kV line bays and the associated busbar bays (two for the opening of the existing line and one for the connection of the solar power plant line)
The estimated timeframe to fulfill the connection conditions (including licensing and construction phases), on the TSO side, is approximately 4,5 years, starting from the date of signing the NCW agreement
A similar timeframe will be also necessary, from our end, for licensing and construction of the 220kV evacuation line from the PV power plant till the new TSO substation (approximately 10 to 12 km length)
The feasibility study to be conducted with internal teams considering the proposed NCW amount and revised inputs

Pipeline in Germany (Mid stage: B-Plan application)


(Germany)",Weekly Report_CW16 - DEV.docx
2DE00001,Illmersdorf,Illmersdorf,1,13240,13414,100.0,"-Plan application)


(Germany) Illmersdorf (89 MWp)
BESS: Personal Meeting with the mayor ","Illmersdorf (89 MWp)
BESS: Personal Meeting with the mayor and the leader of the building authority of the municipality of Kolkwitz took place (the neighbor municipality of",Weekly Report_CW16 - DEV.docx
2DE00001,Illmersdorf,Illmersdorf,1,13414,14114,100.0,(the neighbor municipality of Illmersdorf) where our substation and BESS are supposed to b,"Illmersdorf) where our substation and BESS are supposed to be located  They want to sell their property to us  
Next steps:
Discussing draft conditional purchase agreement (total amount ~120k EUR)
As we want to claim a part of the landscape conservation area for the substation and we don’t want to provoke resistance, discussing financial support/ sponsorship for the local NABU department about our project
The Economic and Construction Committee meets on 29th of April. We will present our project personally and afterwards the mayor will recommend the committee selling the property to us.
The final solution of the selling will be decided by the municipality council two weeks later.

(Germany)",Weekly Report_CW16 - DEV.docx
2DE00002,Garwitz,Lunaco,1,14114,14347,100.0,"l two weeks later.

(Germany) Lunaco (56 MWp & 33 MWp)
Reaching out to the landowner for p","Lunaco (56 MWp & 33 MWp)
Reaching out to the landowner for potential BESS area
The update below remains the same as the previous report, but it will be kept as it is since it’s a key item to be continuously monitored until June ’25;",Weekly Report_CW16 - DEV.docx
2DE00003,Matzlow,Lunaco,1,14114,14347,100.0,"l two weeks later.

(Germany) Lunaco (56 MWp & 33 MWp)
Reaching out to the landowner for p","Lunaco (56 MWp & 33 MWp)
Reaching out to the landowner for potential BESS area
The update below remains the same as the previous report, but it will be kept as it is since it’s a key item to be continuously monitored until June ’25;",Weekly Report_CW16 - DEV.docx
2DE00002,Garwitz,Lunaco,1,14347,14953,100.0,"sly monitored until June ’25;
Lunaco expects the Target Deviation Procedure (ZAV) to be fi","Lunaco expects the Target Deviation Procedure (ZAV) to be finalized by June this year. This would enable the B-plan resolution (Satzungsbeschluss) to take place in March 2026. As a result, the B-plan registration timeline needs to be pushed back by three months compared to the previously reported schedule. Nevertheless, it’s encouraging that the ZAV process is approaching completion

(Germany) IM37 Barnim (8.2MWp)
Extension of grid application PV filed on April 4th

(Germany) IM16 Rüsterwerder (8.3MWp)
Point of interconnection is under consideration - Grid application filed by April 11th 

(Germany)",Weekly Report_CW16 - DEV.docx
2DE00003,Matzlow,Lunaco,1,14347,14953,100.0,"sly monitored until June ’25;
Lunaco expects the Target Deviation Procedure (ZAV) to be fi","Lunaco expects the Target Deviation Procedure (ZAV) to be finalized by June this year. This would enable the B-plan resolution (Satzungsbeschluss) to take place in March 2026. As a result, the B-plan registration timeline needs to be pushed back by three months compared to the previously reported schedule. Nevertheless, it’s encouraging that the ZAV process is approaching completion

(Germany) IM37 Barnim (8.2MWp)
Extension of grid application PV filed on April 4th

(Germany) IM16 Rüsterwerder (8.3MWp)
Point of interconnection is under consideration - Grid application filed by April 11th 

(Germany)",Weekly Report_CW16 - DEV.docx
2DE00015,Wethen,Wethen,1,14953,15250,100.0,"iled by April 11th 

(Germany) Wethen (1735 MWp)
The date for the meeting of the city coun","Wethen (1735 MWp)
The date for the meeting of the city council for ‘B-plan application (Aufstellungsbeschluss)’ is given for June 23rd
The application for grid access has been handed in for high voltage grid operator

Pipeline in Italy (From Phase 2: After preliminary land securing) 
   
(Italy)",Weekly Report_CW16 - DEV.docx
5DE00015,New_2026_BESS_Wethen,Wethen,1,14953,15250,100.0,"iled by April 11th 

(Germany) Wethen (1735 MWp)
The date for the meeting of the city coun","Wethen (1735 MWp)
The date for the meeting of the city council for ‘B-plan application (Aufstellungsbeschluss)’ is given for June 23rd
The application for grid access has been handed in for high voltage grid operator

Pipeline in Italy (From Phase 2: After preliminary land securing) 
   
(Italy)",Weekly Report_CW16 - DEV.docx
2IT00001,Rende_1,Rende,1,15250,15301,100.0,"ry land securing) 
   
(Italy) Rende_1 (10.8MWp) 
Request to the Municipality of Rende to ","Rende_1 (10.8MWp) 
Request to the Municipality of",Weekly Report_CW16 - DEV.docx
2IT00001,Rende_1,Rende,1,15301,15879,100.0,equest to the Municipality of Rende to cross the road from the delivery cabin placed on co,"Rende to cross the road from the delivery cabin placed on contrada Pererosse filed (completed) - Grid test performed positively, and the test certificate obtained
Transfer of NCW to DNO is underway with ‘Notary Di Rosa (3k EUR + VAT)’. Grid Bond is pending to complete this task. After the notarization, we will receive a refund (from the DNO) of the GC acceptance costs paid
Decommissioning Bond is becoming an issue. We need to file it with the Municipality as soon as possible (at the latest before work completion) otherwise permits can be challenged by the Municipality of",Weekly Report_CW16 - DEV.docx
2IT00001,Rende_1,Rende,1,15879,16115,100.0,"lenged by the Municipality of Rende

(Italy) Anagni 1&2 (9.7MWp) 
Searching for a land plo","Rende

(Italy) Anagni 1&2 (9.7MWp) 
Searching for a land plot for a co-location ESS. Targeting 10MW/40MWh ESS – searching is underway with our internal resources, while waiting for the Region to publish ‘Suitable Area Map’ (exp. Q2 2025",Weekly Report_CW16 - DEV.docx
2IT00003,Anagni_1,Anagni,1,15879,16115,100.0,"lenged by the Municipality of Rende

(Italy) Anagni 1&2 (9.7MWp) 
Searching for a land plo","Rende

(Italy) Anagni 1&2 (9.7MWp) 
Searching for a land plot for a co-location ESS. Targeting 10MW/40MWh ESS – searching is underway with our internal resources, while waiting for the Region to publish ‘Suitable Area Map’ (exp. Q2 2025",Weekly Report_CW16 - DEV.docx
2IT00004,Anagni_2,Anagni,1,15879,16115,100.0,"lenged by the Municipality of Rende

(Italy) Anagni 1&2 (9.7MWp) 
Searching for a land plo","Rende

(Italy) Anagni 1&2 (9.7MWp) 
Searching for a land plot for a co-location ESS. Targeting 10MW/40MWh ESS – searching is underway with our internal resources, while waiting for the Region to publish ‘Suitable Area Map’ (exp. Q2 2025",Weekly Report_CW16 - DEV.docx
